station,rf_prediction,now,caution
가로림연안1_연안,4.8999999999999995,4.9,-8.881784197001252e-16
가로림연안2_연안,4.83,4.9,-0.07000000000000028
가로림연안3_연안,4.829999999999999,4.9,-0.07000000000000117
가막만1_환경관리,11.011944444444444,15.1,-4.088055555555556
가막만2_환경관리,11.537499999999998,15.1,-3.5625000000000018
가막만3_환경관리,11.47111111111111,15.1,-3.6288888888888895
감포연안1_연안,51.032,46.4,4.631999999999998
감포연안2_연안,41.489999999999995,46.4,-4.910000000000004
강구연안1_연안,40.84,52.1,-11.259999999999998
강릉연안1_연안,44.39000000000001,39.7,4.690000000000005
강릉연안2_연안,41.93,39.7,2.229999999999997
강릉연안3_연안,41.69,39.7,1.9899999999999949
강릉연안4_연안,48.260000000000005,39.7,8.560000000000002
강릉연안5_연안,43.81999999999999,39.7,4.11999999999999
거제도남안1_연안,14.075333333333333,13.5,0.575333333333333
거제도남안2_연안,22.740000000000002,13.5,9.240000000000002
거제도남안3_연안,20.589999999999996,13.5,7.089999999999996
거제도남안4_연안,12.569999999999999,13.5,-0.9300000000000015
거제도동안1_연안,14.137333333333334,13.5,0.6373333333333342
거제도동안2_연안,17.6,13.5,4.100000000000001
거제도동안3_연안,16.080000000000002,13.5,2.580000000000002
거제도동안4_연안,14.035833333333334,13.5,0.5358333333333345
고성자란만1_연안,15.553944444444445,5.3,10.253944444444446
고성자란만2_연안,12.953333333333333,5.3,7.653333333333333
고성자란만3_연안,11.17,5.3,5.87
고창연안1_연안,8.038474192474194,8.4,-0.36152580752580654
고창연안2_연안,8.207224192474193,8.4,-0.19277580752580725
고창연안4_연안,8.494676573426574,8.4,0.09467657342657354
고흥연안1_연안,14.160833333333334,5.9,8.260833333333334
고흥연안2_연안,19.866000000000007,5.9,13.966000000000006
고흥연안3_연안,15.850000000000003,5.9,9.950000000000003
고흥연안4_연안,13.270500000000002,5.9,7.370500000000002
고흥연안5_연안,13.393333333333336,5.9,7.493333333333336
구룡포연안1_연안,39.599999999999994,59.3,-19.700000000000003
구룡포연안2_연안,43.42999999999999,59.3,-15.870000000000005
군산연안10_연안,11.480714285714285,4.2,7.280714285714285
군산연안1_연안,8.356022727272729,4.2,4.156022727272728
군산연안2_연안,10.420000000000002,4.2,6.2200000000000015
군산연안3_연안,5.880000000000001,4.2,1.6800000000000006
군산연안4_연안,9.34,4.2,5.14
군산연안5_연안,9.315000000000001,4.2,5.115000000000001
군산연안6_연안,9.201764790764791,4.2,5.001764790764791
군산연안7_연안,9.52,4.2,5.319999999999999
군산연안8_연안,8.010000000000002,4.2,3.8100000000000014
군산연안9_연안,17.535000000000004,4.2,13.335000000000004
기장연안1_연안,51.81,39.2,12.61
기장연안2_연안,47.620000000000005,39.2,8.420000000000002
기장연안3_연안,50.51,39.2,11.309999999999995
남해도남안1_연안,15.025333333333332,17.8,-2.7746666666666684
남해도남안2_연안,16.57,17.8,-1.2300000000000004
남해도남안3_연안,15.642500000000002,17.8,-2.157499999999999
남해도남안4_연안,15.48,17.8,-2.3200000000000003
남해도남안5_연안,11.123333333333335,17.8,-6.676666666666666
도암만1_환경관리,17.393058441558445,8.3,9.093058441558444
도암만2_환경관리,10.335111111111111,8.3,2.03511111111111
동해연안1_연안,42.05,42.1,-0.05000000000000426
동해연안2_연안,41.18,42.1,-0.9200000000000017
동해연안3_연안,41.69,42.1,-0.4100000000000037
동해연안4_연안,41.86,42.1,-0.240000000000002
득량만1_환경관리,10.318777777777777,7.2,3.118777777777777
득량만2_환경관리,11.80561111111111,7.2,4.60561111111111
득량만3_환경관리,15.040833333333333,7.2,7.840833333333333
마산만1_환경관리,11.52111111111111,12.5,-0.9788888888888891
마산만2_환경관리,11.530333333333333,12.5,-0.9696666666666669
보령연안1_연안,12.328000000000001,16.4,-4.071999999999997
보령연안2_연안,15.028000000000002,16.4,-1.3719999999999963
보령연안3_연안,13.253,16.4,-3.1469999999999985
부산연안1_환경관리,18.380000000000003,39.2,-20.82
부산연안2_환경관리,25.639999999999997,39.2,-13.560000000000006
부산연안3_환경관리,28.579999999999995,39.2,-10.620000000000008
부산연안4_환경관리,18.62,21.6,-2.9800000000000004
사천연안1_연안,14.625111111111114,5.7,8.925111111111114
사천연안2_연안,12.317000000000002,5.7,6.617000000000002
사천연안3_연안,20.78333333333334,5.7,15.08333333333334
삼척연안1_연안,41.69,38.0,3.6899999999999977
삼척연안2_연안,44.58,38.0,6.579999999999998
삼척연안3_연안,42.279999999999994,38.0,4.279999999999994
속초연안2_연안,42.05,46.9,-4.850000000000001
속초연안3_연안,42.1,46.9,-4.799999999999997
속초연안4_연안,41.64,46.9,-5.259999999999998
신안연안1_연안,8.755462287712287,8.3,0.4554622877122867
신안연안2_연안,9.189128954378955,8.3,0.889128954378954
양양연안1_연안,41.93,42.3,-0.36999999999999744
양양연안2_연안,41.93,42.3,-0.36999999999999744
여수연안1_연안,11.597222222222223,15.1,-3.5027777777777764
여수연안2_연안,12.865444444444446,15.1,-2.234555555555554
여수연안3_연안,10.2075,15.1,-4.8925
여수연안4_연안,14.403333333333332,15.1,-0.6966666666666672
여수연안5_연안,14.767333333333331,15.1,-0.3326666666666682
영일만10_연안,55.38000000000001,59.3,-3.9199999999999875
영일만11_연안,55.38000000000001,59.3,-3.9199999999999875
영일만12_연안,43.17,59.3,-16.129999999999995
영일만2_연안,52.489999999999995,59.3,-6.810000000000002
영일만3_연안,52.489999999999995,59.3,-6.810000000000002
영일만4_연안,51.190000000000005,59.3,-8.109999999999992
영일만5_연안,50.53,59.3,-8.769999999999996
영일만6_연안,49.12,59.3,-10.18
영일만7_연안,49.95,59.3,-9.349999999999994
영일만8_연안,50.53,59.3,-8.769999999999996
영일만9_연안,46.010000000000005,59.3,-13.289999999999992
온산연안1_환경관리,50.42,51.0,-0.5799999999999983
온산연안2_환경관리,44.67000000000001,51.0,-6.329999999999991
온산연안3_환경관리,52.18000000000001,51.0,1.1800000000000068
완도연안1_환경관리,12.37484126984127,9.8,2.5748412698412686
완도연안2_환경관리,8.243619047619047,9.8,-1.5563809523809535
완도연안3_환경관리,11.796785714285715,9.8,1.9967857142857142
완도연안4_환경관리,13.956714285714288,9.8,4.156714285714287
완도연안5_환경관리,8.349285714285715,9.8,-1.4507142857142856
울산연안1_환경관리,47.92,51.0,-3.0799999999999983
울산연안2_환경관리,53.279999999999994,51.0,2.279999999999994
울산연안3_환경관리,53.29666666666666,51.0,2.2966666666666598
울산연안4_환경관리,53.001999999999995,51.0,2.0019999999999953
월포연안1_연안,43.720000000000006,59.3,-15.579999999999991
인천연안10_환경관리,10.909999999999998,12.6,-1.6900000000000013
인천연안11_환경관리,11.43,12.6,-1.17
인천연안12_환경관리,10.28,12.6,-2.3200000000000003
인천연안13_환경관리,12.199999999999998,12.6,-0.40000000000000213
인천연안14_환경관리,10.209999999999997,12.6,-2.3900000000000023
인천연안15_환경관리,11.749999999999996,12.6,-0.8500000000000032
인천연안1_환경관리,6.720000000000001,12.6,-5.879999999999999
인천연안2_환경관리,10.08,12.6,-2.5199999999999996
인천연안3_환경관리,9.24,12.6,-3.3599999999999994
인천연안4_환경관리,11.299999999999999,12.6,-1.3000000000000007
인천연안5_환경관리,10.909999999999998,12.6,-1.6900000000000013
인천연안6_환경관리,10.28,12.6,-2.3200000000000003
인천연안7_환경관리,11.299999999999999,12.6,-1.3000000000000007
인천연안8_환경관리,10.669999999999998,12.6,-1.9300000000000015
인천연안9_환경관리,11.819999999999999,12.6,-0.7800000000000011
전주포연안1_연안,5.490000000000001,4.2,1.290000000000001
전주포연안2_연안,4.409999999999999,4.2,0.20999999999999908
전주포연안3_연안,13.155555555555555,8.4,4.755555555555555
전주포연안4_연안,9.484668636918638,8.4,1.0846686369186376
전주포연안5_연안,8.367474192474193,8.4,-0.03252580752580769
전주포연안6_연안,15.065555555555557,8.4,6.665555555555557
주문진연안1_연안,49.13199999999999,39.7,9.431999999999988
주문진연안2_연안,39.839999999999996,39.7,0.13999999999999346
주문진연안3_연안,40.94,39.7,1.2399999999999949
주문진연안4_연안,39.599999999999994,39.7,-0.10000000000000853
주문진연안5_연안,44.21,39.7,4.509999999999998
죽변연안1_연안,41.22,50.7,-9.480000000000004
죽변연안2_연안,40.66,50.7,-10.040000000000006
죽변연안3_연안,39.94,50.7,-10.760000000000005
죽변연안4_연안,42.040000000000006,50.7,-8.659999999999997
진주만1_연안,12.371222222222224,5.7,6.671222222222224
진주만2_연안,14.244777777777779,17.8,-3.5552222222222216
진해만1_환경관리,13.075333333333333,12.5,0.575333333333333
진해만2_환경관리,12.524444444444445,12.5,0.024444444444444713
축산연안1_연안,41.56,52.1,-10.54
태안연안1_연안,4.83,4.9,-0.07000000000000028
태안연안2_연안,4.76,4.9,-0.14000000000000057
태안연안3_연안,5.84,4.9,0.9399999999999995
태안연안4_연안,8.14,4.9,3.24
태안연안5_연안,5.979999999999999,4.9,1.0799999999999983
통영연안1_연안,14.8,15.9,-1.0999999999999996
통영연안2_연안,18.066000000000003,15.9,2.166000000000002
통영연안4_연안,18.940000000000005,15.9,3.0400000000000045
함평연안1_환경관리,8.303248001998002,8.3,0.0032480019980010155
함평연안2_환경관리,8.682732128982128,8.3,0.38273212898212705
해남만1_연안,11.379992063492065,10.3,1.079992063492064
행암만1_환경관리,12.996222222222224,12.5,0.4962222222222241
후포연안1_연안,41.489999999999995,50.7,-9.210000000000008
